"OBJECTID","FACILITY_N","county","Latitude","Longitude"
"1"," CDF Kiriari Dispensary","Embu","-0.3994","37.47605"
"2"," St Jude's Huruma Community Health Services","Nairobi","-1.26174","36.87765"
"3","12 Engineers","Kiambu","-1.07354","37.14413"
"4","3Kl Maternity & Nursing Home","Kajiado","-1.3757","36.72277"
"5","8Th Street Clinic","Kajiado","-1.41187","36.50854"
"6","AAR Adams Health Centre","Nairobi","-1.30047","36.73162"
"7","AAR City Centre Clinic","Nairobi","-1.28443","36.82135"
"8","AAR Clinic Sarit Centre (Westlands)","Nairobi","-1.2617","36.80211"
"9","AAR Eldoret","Uasin Gishu","0.51676","35.27422"
"10","AAR Gwh Health Care Ltd","Nairobi","-1.29467","36.80897"
"11","AAR Health Care","Nairobi","-1.30954","36.9124"
"12","AAR Health Care-Kisumu","Kisumu","-0.10465","34.75328"
"13","AAR Healthcare Limited (Karen)","Nairobi","-1.3408","36.75777"
"14","AAR Kariobangi Clinic","Nairobi","-1.23625","36.96017"
"15","AAR Medical Services (Docks)","Mombasa","-4.06012","39.66429"
"16","AAR Mountain mall","Nairobi","-1.23283","36.87403"
"17","AAR Nakuru Clinic","Nakuru","-0.23285","36.04388"
"18","AAR Outpatient Center Donholm","Nairobi","-1.18072","36.53169"
"19","AAR Thika out Patient Centre","Kiambu","-1.03863","37.0775"
"20","AAR Thika Road Clinic","Nairobi","-1.2148","36.8665"
"21","Abakore Sub District Hospital","Wajir","0.63091","39.71226"
"22","Abandoned Child Care","Nairobi","-1.27396","36.69119"
"23","Abba Medical Clinic","Nyeri","-0.49793","36.99488"
"24","Abby Clinic","Nairobi","-1.26379","36.74795"
"25","Abby Health Services","Kitui","-1.03669","38.0094"
"26","ABC Thange Dispensary","Makueni","-2.50087","38.01595"
"27","Abdallah Dental Clinic (Barclays Plaza-Nairobi)","Nairobi","-1.28474","36.81815"
"28","Abdisamad Dispensary","Garissa","0.04883","39.65491"
"29","Abdiwaqo Dispensary","Wajir","2.17684","39.3362"
"30","Aberdare Health Services","Murang'a","-0.765141","36.8247"
"31","Aberdare Medical & Surgical Clinic","Nyeri","-0.558127","36.9264"
"32","Abidha Health Centre","Siaya","-0.15902","34.41064"
"33","Able Medical Clinic","Kakamega","0.22351","34.81428"
"34","Aboloi Dispensary","Busia","0.65654","34.39563"
"35","Abra Health Services","Nairobi","-1.2907","36.90275"
