"OBJECTID","SCHOOL_NAM","County","X_Coord","Y_Coord"
"1","BAKWANIN","Baringo","35.79708","0.40955"
"2","BEKIBON","Baringo","35.88406","0.3364"
"3","BOKORIN","Baringo","35.77177","0.53218"
"4","BOROWONIN","Baringo","35.77864","0.44487"
"5","BOSIN","Baringo","35.79545","0.43809"
"6","BUIWON","Baringo","35.90716","0.3668"
"7","CHESONGO","Baringo","35.67543","0.55089"
"8","EITUI","Baringo","35.740339","0.218567"
"9","EMOM","Baringo","35.74721","0.29077"
"10","ERON","Baringo","35.67539","0.48551"
"11","ILLIAGAT","Baringo","35.83417","0.30749"
"12","KABARBARMA","Baringo","35.81746","0.43149"
"13","KABARNET DEAF BLIND SP","Baringo","35.73776","0.5008"
"14","KABASIS D B","Baringo","35.78729","0.43688"
"15","KABIRMOI","Baringo","35.78441","0.42125"
"16","KABIRMET","Baringo","35.82469","0.58723"
"17","KABOCHONY","Baringo","35.79967","0.44333"
"18","KAISO","Baringo","35.79731","0.30241"
"19","KAKWANE","Baringo","35.62756","0.52323"
"20","KAMGOIN","Baringo","35.76201","0.4706"
"21","KAMWEN","Baringo","35.75023","0.55332"
"22","KAPCHEMON","Baringo","35.74422","0.52884"
"23","KAPCHEREBET","Baringo","35.7192","0.45235"
"24","KAPCHOMUSO","Baringo","35.74316","0.54066"
"25","KAPKATIT","Baringo","35.78163","0.26617"
"26","KAPKELELWA","Baringo","35.72099","0.37685"
"27","KAPKIAI","Baringo","35.80483","0.42841"
"28","KAPKOIBAI","Baringo","35.85264","0.54361"
"29","KAPKOMOI","Baringo","35.79286","0.50313"
"30","KAPKONY","Baringo","35.76435","0.44721"
"31","KAPKUT","Baringo","35.74121","0.46229"
"32","KAPLEL","Baringo","35.76846","0.35463"
"33","KAPLOTEN","Baringo","35.7675","0.37023"
"34","KAPROPITA","Baringo","35.75276","0.48976"
"35","KAPSIGORIAN","Baringo","35.70722","0.47748"
"36","KAPSOGO","Baringo","35.78089","0.45486"
"37","KAPSOO","Baringo","35.77038","0.46873"
"38","KAPTARA","Baringo","35.64617","0.55233"
"39","KAPTICH","Baringo","35.79677","0.3605"
"40","KAPTIEN","Baringo","35.72517","0.42979"
"41","KAPTIMBOR","Baringo","35.73221","0.49954"
"42","KAPTOROKWO","Baringo","35.79478","0.44964"
"43","KAPTUMO","Baringo","35.80013","0.57011"
"44","KAPYEMIT","Baringo","36.040712","0.16532"
"45","KASERET","Baringo","35.76924","0.2718"
"46","KASORE","Baringo","35.80485","0.52408"
"47","KESETAN","Baringo","35.77491","0.37283"
"48","KETINDUI","Baringo","35.71393","0.52118"
"49","KEWAMOI","Baringo","35.7252","0.49842"
"50","KIBOI","Baringo","35.75362","0.47481"
"51","KIBOINO","Baringo","35.68215","0.46358"
"52","KIMAGOK","Baringo","35.7762","0.51049"
"53","KIMOSO","Baringo","35.702349","0.500302"
"54","KIMOTANY","Baringo","35.74111","0.37055"
"55","KIPKAECH B D","Baringo","35.81059","0.48076"
"56","KIPKUTUNY","Baringo","35.78509","0.3281"
"57","KIPLABAL","Baringo","35.68861","0.45514"
"58","KIPONJOS","Baringo","35.80484","0.39737"
"59","KIPSOIT","Baringo","35.6496","0.51791"
"60","KIPTILIT","Baringo","35.76544","0.49155"
"61","KISOK","Baringo","35.70509","0.407"
"62","KISONEI","Baringo","35.718","0.25705"
"63","KITUMBEI","Baringo","35.79038","0.47396"
"64","KITURO D/B","Baringo","35.78526","0.48164"
"65","KONOIYO","Baringo","35.76182","0.42609"
"66","KOYORUS","Baringo","35.78523","0.40097"
"67","KURUMBOPSOO","Baringo","35.67633","0.42538"
"68","LELBATAI","Baringo","35.750964","0.252957"
"69","LELGUT","Baringo","35.74535","0.32573"
"70","MAGONOI","Baringo","35.68308","0.51468"
"71","MANAACH","Baringo","35.79068","0.5415"
"72","MBECHOT","Baringo","36.101417","0.379455"
"73","MOGORWA","Baringo","35.71901","0.31206"
"74","MOI TEACHERS","Baringo","35.786592","0.545966"
"75","MOI TIMOWO","Baringo","35.73756","0.56724"
"76","MUMOL","Baringo","35.74739","0.48211"
"77","NGETMOI","Baringo","35.81902","0.41251"
"78","NGOLONG","Baringo","35.76288","0.54639"
"79","OCHII","Baringo","35.77181","0.30392"
"80","OROKWO","Baringo","35.75594","0.56685"
"81","PEMWAI","Baringo","35.76998","0.57319"
"82","RIWO","Baringo","35.76592","0.51267"
"83","ROSOBET","Baringo","35.77798","0.56659"
"84","SAIMET","Baringo","35.73462","0.38838"
"85","SALAWA","Baringo","35.66248","0.49929"
"86","SANGARAU","Baringo","35.7788","0.28121"
"87","SEGUTON HILL","Baringo","35.7467","0.50741"
"88","SENETWO","Baringo","35.82559","0.57869"
"89","SERETON","Baringo","35.84738","0.32472"
"90","SERETUNIN","Baringo","35.78876","0.5558"
"91","SESYA","Baringo","35.81004","0.49656"
"92","SIGINWO","Baringo","35.81574","0.31535"
"93","SIGOWO","Baringo","35.79627","0.34246"
"94","SIRONOI","Baringo","35.70156","0.47466"
"95","SIRWET","Baringo","35.8238","0.36248"
"96","SOGON","Baringo","35.81521","0.56248"
"97","SOROK","Baringo","35.77115","0.23038"
"98","SOSION","Baringo","35.76475","0.40874"
"99","TABARIN","Baringo","35.81187","0.34187"
"100","TALAI","Baringo","35.81288","0.58701"
"101","TANDUI","Baringo","35.78914","0.38037"
"102","TARTAR","Baringo","35.75088","0.43458"
"103","TEBEI","Baringo","35.83951","0.27675"
"104","TENGES","Baringo","35.80015","0.30935"
"105","TEREBEN","Baringo","35.75332","0.52741"
"106","TILELON","Baringo","35.76472","0.50091"
"107","TIMBOIYWO","Baringo","35.79676","0.42594"
"108","TINOMOI","Baringo","35.86762","0.29075"
"109","TULUONGOI","Baringo","35.80886","0.27453"
"110","TURKWO","Baringo","35.72898","0.47496"
"111","AIC VISA OSHWAL","Baringo","35.74253","0.49244"
"112","YEMO","Baringo","35.75107","0.45747"
"113","KINGS HILL","Baringo","35.7331","0.5064"
"114","SDA KABARNET ACADEMY","Baringo","35.73908","0.49042"
"115","SEREMWAI ACADEMY","Baringo","35.8009","0.31324"
"116","ST JOSEPHS CATHOLIC KITURO","Baringo","35.78431","0.48439"
"117","KOKORWONIN","Baringo","35.75628","0.39287"
"118","KATUNOI","Baringo","35.69645","0.38248"
"119","KAPTALAM","Baringo","35.78092","0.54215"
"120","KABARNET TOWN ACADEMY","Baringo","35.74743","0.484082"
"121","CHRIST DOMINION","Baringo","35.726504","0.495886"
"122","A.I.C. EBENEZER ACADEMY","Baringo","35.766276","0.553188"
"123","WARWA ACADEMY","Baringo","35.74139","0.49104"
"124","AIYEBO","Baringo","35.80838","0.66287"
"125","AKOROYAN","Baringo","35.98308","0.63338"
"126","ATIAR","Baringo","35.78904","0.80125"
"127","AYATYA","Baringo","35.656744","0.893036"
"128","BARBARCHUN","Baringo","35.82191","0.77551"
"129","BARKEBO","Baringo","35.81955","0.74254"
"130","BARKETIEW","Baringo","35.855365","0.791708"
"131","BARTABWA D&B","Baringo","35.80915","0.84124"
"132","BARTARAGON","Baringo","35.77288","0.63752"
"133","BARTOGO","Baringo","35.698372","0.659225"
"134","BARTOLIMO","Baringo","35.81947","0.68465"
"135","BARTUM","Baringo","35.88346","0.59346"
"136","BARWESSA","Baringo","35.698334","0.717053"
"137","BIRETWONIN","Baringo","35.86553","0.67549"
"138","BIRINGWENY","Baringo","35.82934","0.61666"
"139","BOIN","Baringo","35.81258","0.64581"
"140","BORUIYO","Baringo","35.82143","0.847753"
"141","BOSSEI","Baringo","35.78587","0.68103"
"142","CHAMBAI","Baringo","35.81384","0.69078"
"143","CHAPIN","Baringo","35.83308","0.77891"
"144","CHEBARSIAT","Baringo","35.9251","0.57853"
"145","CHEBUGAR","Baringo","35.661501","0.758031"
"146","CHEMINTANY","Baringo","35.690726","0.899441"
"147","CHEMURA","Baringo","35.62408","0.586429"
"148","CHEPKESIN","Baringo","35.84464","0.87769"
"149","CHEPKEW","Baringo","35.86586","0.85935"
"150","CHEPKEWEL","Baringo","35.94102","0.66804"
"151","CHEPTIGIT","Baringo","35.676064","0.789528"
"152","EMBO RUTTO","Baringo","35.82283","0.65749"
"153","KABARBET","Baringo","35.77573","0.58239"
"154","KABARGOGE","Baringo","35.81885","0.67435"
"155","KABILANY","Baringo","35.80637","0.76027"
"156","KABIYEWO","Baringo","35.82674","0.6296"
"157","KABORON","Baringo","35.83377","0.80745"
"158","KAGIR","Baringo","35.95133","0.8023"
"159","KALABATA","Baringo","35.7736","0.89529"
"160","KALEL","Baringo","35.78276","0.64351"
"161","KAMOGOI","Baringo","35.717916","0.714925"
"162","KAMOTIONY","Baringo","35.83206","0.60039"
"163","KAMPI NYASI","Baringo","35.99151","0.48375"
"164","KAMWETIO","Baringo","35.86586","0.85935"
"165","KAMWETON","Baringo","35.82228","0.81631"
"166","KAPCHEPKISA","Baringo","35.8316","0.70058"
"167","KAPCHEPKOR","Baringo","35.81844","0.63564"
"168","KAPCHEPKULEI","Baringo","35.82093","0.62152"
"169","KAPKIAMO","Baringo","35.77935","0.66199"
"170","KAPKIRWOK","Baringo","35.7393","0.58702"
"171","KAPKOIWO","Baringo","35.79696","0.73043"
"172","KAPKOLE","Baringo","35.84653","0.61599"
"173","KAPKOMBE","Baringo","35.82581","0.67298"
"174","KAPKOMON","Baringo","35.73795","0.60483"
"175","KAPKWANG","Baringo","35.78764","0.6529"
"176","KAPLUK","Baringo","35.66425","0.56848"
"177","KAPTERE","Baringo","35.8023","0.62162"
"178","KAPTIGIT","Baringo","35.659978","0.843655"
"179","KAPTILOMWO","Baringo","35.730576","0.752024"
"180","KAPTIONY D& B","Baringo","35.733123","0.704672"
"181","KAPTOROT","Baringo","35.758239","0.723568"
"182","KAPTUM","Baringo","35.74891","0.61576"
"183","KAPTUMIN","Baringo","35.79688","0.65961"
"184","KAPTURO","Baringo","35.82742","0.91173"
"185","KASAKA","Baringo","35.77448","0.7186"
"186","KASESYA","Baringo","35.83568","0.63595"
"187","KASIBER","Baringo","35.81636","0.60831"
"188","KASIRMA","Baringo","35.688997","0.587236"
"189","KASISIT","Baringo","35.8297","0.64293"
"190","KASOK","Baringo","35.81407","0.72631"
"191","KATIBEL","Baringo","35.668196","0.623434"
"192","KELWONDONIN","Baringo","35.83195","0.69369"
"193","KETURWO","Baringo","35.689018","0.662471"
"194","KIBIRIOKWONIN","Baringo","35.83009","0.75677"
"195","KILINGOT","Baringo","35.74638","0.62849"
"196","KIMUGUL","Baringo","35.82006","0.71591"
"197","KINYACH","Baringo","35.676158","0.925159"
"198","KIPCHERERE","Baringo","35.85527","0.59782"
"199","KIPKAREN","Baringo","35.769","0.77757"
"200","KIPKOLONY","Baringo","35.675839","0.732001"
"201","KIPSARAMAN","Baringo","35.83165","0.73469"
"202","KIPTAIWA","Baringo","35.686628","0.568071"
"203","KIPTILINGON","Baringo","35.658577","0.638935"
"204","KIPTOLELYO","Baringo","35.642735","0.586133"
"205","KIRINY-GALIA","Baringo","35.75962","0.61725"
"206","KITIBEI","Baringo","35.81455","0.70362"
"207","KOIBOWARE","Baringo","35.90117","0.6937"
"208","KOISERAT","Baringo","35.77271","0.83118"
"209","KOMBOSANG","Baringo","35.744286","0.774137"
"210","KONOO","Baringo","35.68351","0.686892"
"211","KORMOR","Baringo","35.700548","0.636948"
"212","KOROSECHUN","Baringo","35.78335","0.69568"
"213","KOROTO DAY AND  BOARDING","Baringo","35.90865","0.62882"
"214","KOSILE","Baringo","35.9353","0.75082"
"215","KUIKUI D&B","Baringo","35.694979","0.807958"
"216","KURESCHUN","Baringo","35.79941","0.64604"
"217","LAKE KAMNOROK","Baringo","35.635141","0.634781"
"218","LAWAN","Baringo","35.746667","0.71784"
"219","LEKEPCHUN","Baringo","35.69239","0.704712"
"220","LIKWON","Baringo","35.692173","0.752063"
"221","LITEIN","Baringo","35.663848","0.649195"
"222","MAREGUT","Baringo","35.694798","0.868322"
"223","MOI KABARTONJO D&B","Baringo","35.792384","0.62726"
"224","MOIGUTWO","Baringo","35.80671","0.7816"
"225","MOINONIN","Baringo","36.01335","0.67025"
"226","MONDOI","Baringo","35.79619","0.71554"
"227","MORMORIO","Baringo","35.77576","0.69923"
"228","MUCHUKWO","Baringo","35.668236","0.600082"
"229","MURTERIT","Baringo","35.741121","0.853989"
"230","NGARATUKO","Baringo","35.97466","0.73225"
"231","NUREGOI","Baringo","35.74694","0.66497"
"232","OSSEN","Baringo","35.7706","0.60105"
"233","POI","Baringo","35.80975","0.74132"
"234","REBEKO","Baringo","35.7889","0.74395"
"235","RIMO","Baringo","35.79931","0.83501"
"236","RONDININ","Baringo","35.8726","0.74381"
"237","ROOT","Baringo","35.79861","0.68103"
"238","ROSONDONIN","Baringo","35.6867","0.622203"
"239","SENEBO","Baringo","35.716836","0.677268"
"240","SEREMWO","Baringo","35.70778","0.56941"
"241","SESOI","Baringo","35.84404","0.63204"
"242","SIBILO","Baringo","35.89807","0.7038"
"243","SIBOO","Baringo","35.711987","0.642162"
"244","SOGOM","Baringo","35.75494","0.63521"
"245","SUMEIYON","Baringo","35.75526","0.58787"
"246","SUTIECHUN","Baringo","35.86179","0.63734"
"247","TERENIN","Baringo","35.81706","0.79951"
"248","TERIK","Baringo","35.79569","0.75914"
"249","TERMET","Baringo","35.76484","0.62564"
"250","TIBINGAR","Baringo","35.89324","0.65488"
"251","TILINGWO","Baringo","35.671864","0.903528"
"252","TILOI","Baringo","35.734909","0.63258"
"253","TIRIMIONIN","Baringo","35.8186","0.65863"
"254","TIRIONDONIN","Baringo","35.7667","0.64992"
"255","TOBOROI","Baringo","35.80656","0.87583"
"256","TOROKWONIN","Baringo","35.82945","0.68212"
"257","TUNOIWO","Baringo","35.80569","0.81568"
"258","TURBEI","Baringo","35.705888","0.784813"
"259","TURUTURU","Baringo","35.647445","0.612495"
"260","YATIA D&B","Baringo","35.92127","0.79023"
"261","A.I.C KABARTONJO","Baringo","35.797995","0.6329"
"262","BARAKA ACADEMY KASIRYO","Baringo","35.747961","0.621445"
"263","ARAMA","Baringo","35.66039","0.04947"
"264","BENONIN","Baringo","35.71285","0.01458"
"265","BIK KWEN","Baringo","35.60275","0.14585"
"266","BOITO","Baringo","35.53116","0.02643"
"267","CHEMUSUSU","Baringo","35.64303","0.0937"
"268","EQUATOR","Baringo","35.5679","-0.00307"
"269","GITHIORO","Baringo","35.67962","-0.03438"
"270","IGURE","Baringo","35.64904","-0.04462"
"271","KABIMOI","Baringo","35.783502","0.028961"
"272","KABIYET","Baringo","35.72802","0.00427"
"273","KABOR","Baringo","35.74643","0.14606"
"274","KAMASABA","Baringo","35.65263","0.05712"
"275","KAMELILO","Baringo","35.73936","0.05652"
"276","KAMNGOECH","Baringo","35.73087","0.08718"
"277","KAMURA","Baringo","35.55654","0.07433"
"278","KANJULUL","Baringo","35.829565","-0.022629"
"279","KAPCHOLOI","Baringo","35.68682","0.09255"
"280","KAPKITET","Baringo","35.808562","0.006585"
"281","KAPNGEMUI","Baringo","35.861326","0.257963"
"282","KAPSIGOT","Baringo","35.59685","0.10225"
